Month,Manufacturing,Durable goods,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing",Transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods,Food manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Paper manufacturing,Printing and related support activities,Chemical manufacturing,Plastics and rubber products manufacturing
Jan 2016,41.9,42.4,42.2,42.4,43.8,42.2,41.8,41.4,42.7,44.2,40.1,40.7,41.2,41.4,42.1,37.8,35.9,42.2,39.8,42.3,42.1
Feb 2016,41.8,42.2,41.8,42.2,43.0,42.1,41.5,41.0,43.4,44.1,39.7,40.7,41.1,41.2,40.6,38.0,36.8,42.1,39.7,42.1,42.3
Mar 2016,41.8,42.1,41.5,41.9,43.4,41.9,41.7,41.2,43.0,43.9,39.9,40.7,41.2,41.4,40.9,37.7,37.1,42.0,39.5,41.9,42.3
Apr 2016,41.8,42.3,41.9,42.2,43.5,41.9,41.9,41.1,42.6,44.1,39.9,41.0,41.2,41.4,40.7,37.6,36.1,42.4,39.2,41.9,42.4
May 2016,41.9,42.4,41.4,42.0,43.5,42.0,42.3,41.1,43.0,44.3,39.9,41.2,41.1,41.5,40.8,37.9,36.3,42.6,38.8,41.7,42.3
June 2016,41.8,42.2,41.6,42.0,43.3,41.9,42.1,40.8,43.1,44.1,39.8,40.9,41.2,41.6,40.8,37.4,36.5,42.7,39.0,41.7,42.2
July 2016,42.0,42.5,41.8,41.9,43.6,42.3,42.5,41.4,42.9,44.4,39.8,41.1,41.1,41.3,41.9,37.8,36.5,42.9,38.8,41.8,42.2
Aug 2016,41.8,42.3,41.6,41.7,43.6,42.0,42.4,41.3,43.2,44.1,39.8,40.8,41.0,41.3,41.2,37.8,36.0,42.7,38.7,41.6,42.4
Sept 2016,41.9,42.3,41.6,41.5,43.3,42.1,42.3,40.9,42.8,44.5,39.8,40.9,41.2,41.3,41.8,37.9,36.5,43.0,39.2,41.6,42.4
Oct 2016,41.9,42.4,42.0,41.8,43.4,42.2,42.2,41.2,42.7,44.3,40.1,40.6,41.3,41.3,41.4,37.7,36.5,43.1,39.3,41.7,43.0
Nov 2016,41.8,42.3,42.5,41.9,43.5,42.0,42.3,41.2,42.6,43.9,40.2,40.3,41.2,41.1,42.1,37.6,36.5,43.0,39.3,41.7,42.7
Dec 2016,41.9,42.3,41.9,42.2,43.1,42.0,42.5,41.3,42.8,44.0,40.1,40.6,41.2,41.4,40.9,37.4,36.7,43.3,39.5,41.9,42.4
Jan 2017,41.9,42.3,42.0,42.3,42.4,42.1,42.7,41.0,42.9,43.9,40.5,40.4,41.2,41.5,40.8,38.4,36.3,42.5,39.2,41.6,42.4
Feb 2017,41.9,42.4,41.8,42.4,43.5,42.3,42.7,41.0,42.7,44.0,39.8,40.4,41.2,41.6,40.4,37.6,36.6,42.5,39.6,41.5,42.8
Mar 2017,41.8,42.3,42.2,42.8,42.6,42.0,42.7,41.0,42.8,43.8,40.0,40.4,41.0,41.2,40.6,37.6,36.3,42.5,39.6,41.7,42.1
Apr 2017,42.0,42.4,42.1,42.6,42.9,42.3,42.8,41.2,43.0,44.0,39.8,40.2,41.3,42.0,40.6,38.1,36.3,42.3,39.6,41.5,42.6
May 2017,41.9,42.4,41.9,42.9,42.8,42.3,42.8,41.3,43.3,44.2,39.5,39.7,41.2,41.4,40.6,38.1,36.2,42.5,39.5,41.7,42.5
June 2017,42.0,42.4,42.0,42.9,42.9,42.1,43.0,41.3,43.5,44.0,39.6,40.0,41.4,41.8,40.1,38.6,36.2,42.0,39.6,41.6,43.0
July 2017,41.9,42.2,42.0,43.0,43.2,42.1,42.7,40.8,43.6,43.7,39.2,39.9,41.5,42.1,40.4,38.7,36.2,42.6,39.4,41.7,42.7
Aug 2017,42.0,42.3,41.9,42.2,43.0,42.6,42.7,41.1,43.2,43.9,39.3,39.7,41.4,42.0,40.5,38.3,36.4,42.6,39.7,41.9,42.4
Sept 2017,41.9,42.3,42.0,43.2,44.0,42.0,42.7,41.4,43.6,43.8,38.6,39.2,41.2,41.7,40.3,38.4,36.3,42.3,39.2,41.8,42.5
Oct 2017,42.0,42.4,42.3,43.6,43.4,42.4,42.8,41.1,43.5,43.8,38.9,39.5,41.4,41.8,40.8,38.9,36.8,42.8,39.2,41.8,42.4
Nov 2017,42.0,42.4,42.7,43.8,43.6,42.1,42.6,41.4,43.1,44.0,38.7,39.4,41.5,41.8,39.7,39.2,36.8,43.1,39.3,41.8,43.1
Dec 2017,41.8,42.2,42.0,43.3,43.6,42.1,42.6,41.0,42.4,43.9,38.4,39.4,41.3,41.5,41.2,39.2,37.5,42.5,39.5,41.3,42.4
Jan 2018,41.9,42.2,41.5,42.9,44.6,42.0,42.9,41.0,43.0,43.7,38.7,39.0,41.3,41.4,41.6,39.5,38.1,43.2,39.3,41.9,42.1
Feb 2018,42.2,42.6,42.6,44.5,44.4,42.3,42.9,41.5,42.8,44.2,39.1,39.4,41.7,41.9,41.9,39.7,37.9,43.4,39.5,42.2,42.4
Mar 2018,42.2,42.5,42.3,43.9,44.7,42.2,42.8,41.1,42.7,44.4,38.9,39.5,41.6,41.9,41.9,39.6,37.9,43.1,39.1,42.0,42.5
Apr 2018,42.3,42.7,41.8,44.4,44.7,42.3,43.2,41.1,42.9,44.7,39.1,39.4,41.8,41.9,42.5,39.6,38.4,43.3,39.6,42.5,42.3
May 2018,42.1,42.3,42.0,45.0,44.5,41.9,42.1,40.9,42.7,43.8,39.1,39.9,41.8,42.1,42.3,39.0,38.3,43.2,39.5,42.5,42.2
June 2018,42.2,42.6,42.0,44.5,44.7,42.5,42.7,41.0,42.4,44.4,39.0,39.7,41.5,41.7,42.8,39.8,38.0,43.3,39.4,42.4,42.1
July 2018,42.2,42.5,41.9,44.7,44.4,42.1,42.7,41.1,42.6,44.3,39.3,39.1,41.8,42.3,42.5,39.9,39.4,43.1,39.7,42.3,42.3
Aug 2018,42.1,42.5,41.9,44.3,44.3,42.1,42.6,40.8,42.8,44.3,39.5,39.7,41.6,42.3,42.5,40.0,37.5,43.2,39.0,41.9,41.9
Sept 2018,42.0,42.3,41.7,43.8,44.5,41.9,42.5,40.4,42.5,44.1,39.7,39.7,41.7,42.3,42.4,38.9,37.0,43.2,39.4,41.8,42.0
Oct 2018,42.1,42.5,41.9,44.2,44.7,42.1,42.7,40.7,42.4,44.5,39.9,39.7,41.4,41.7,43.3,39.0,36.3,42.9,38.8,41.7,41.9
Nov 2018,41.9,42.3,41.0,43.7,44.7,42.1,42.6,40.3,42.1,44.1,39.7,39.5,41.4,42.0,42.9,38.5,36.7,42.8,38.7,42.0,41.6
Dec 2018,42.1,42.5,41.9,44.3,44.4,42.1,42.4,40.7,42.4,44.7,39.4,39.9,41.3,42.0,41.2,38.4,35.6,42.7,38.8,42.0,41.9
Jan 2019,42.0,42.3,42.0,44.3,44.7,42.1,42.5,40.2,41.7,44.1,39.5,40.0,41.5,42.0,42.8,38.0,35.2,42.7,39.3,42.2,41.8
Feb 2019,41.7,42.0,41.4,42.8,44.3,41.7,42.4,40.4,41.7,43.6,39.3,39.8,41.1,41.8,43.2,37.3,35.4,42.4,38.8,41.8,41.2
Mar 2019,41.7,42.0,40.4,43.7,44.6,41.8,42.4,40.5,41.9,43.4,38.9,40.0,41.2,41.7,43.6,38.2,36.1,42.3,38.7,42.2,41.1
Apr 2019,41.6,41.9,40.6,44.0,44.3,41.6,42.3,40.4,41.3,43.3,39.4,40.1,41.2,41.7,42.8,38.7,36.9,42.4,38.7,42.1,41.0
May 2019,41.6,41.9,40.9,43.9,44.0,41.5,42.6,40.6,41.7,43.2,39.5,39.9,41.0,41.3,43.4,37.7,37.2,42.0,38.7,42.2,40.9
June 2019,41.7,42.0,41.3,44.3,43.7,41.5,42.5,40.6,41.9,43.5,39.5,39.6,41.1,41.4,43.5,37.8,38.0,42.1,38.7,41.8,41.1
July 2019,41.5,41.8,41.3,43.5,43.1,41.5,42.2,40.6,41.5,43.3,39.6,39.7,41.0,41.2,43.4,36.5,36.8,42.3,38.8,42.0,40.8
Aug 2019,41.5,41.9,41.5,43.8,43.8,41.7,42.2,40.4,41.2,43.2,39.3,39.6,40.9,41.2,43.9,36.6,36.5,41.9,38.7,41.8,41.0
Sept 2019,41.4,41.8,41.2,44.1,43.6,41.6,42.1,40.8,41.2,43.0,39.3,39.6,40.8,41.0,43.9,37.9,37.4,41.9,38.8,41.8,40.6
Oct 2019,41.4,41.8,42.3,43.6,43.3,41.5,42.2,40.5,40.8,43.1,39.3,39.3,40.9,41.3,43.6,38.0,37.6,41.7,38.7,41.6,40.7
Nov 2019,41.4,41.7,41.6,43.6,42.9,41.3,42.0,40.7,41.2,43.1,39.4,39.4,40.9,41.3,44.2,38.4,37.9,41.5,39.1,41.6,40.6
Dec 2019,41.4,41.7,41.9,43.6,43.4,41.5,42.0,40.5,40.8,43.0,39.5,39.0,40.8,41.3,44.0,38.3,38.5,42.0,38.6,40.9,40.5
Jan 2020,41.3,41.5,42.1,44.1,43.0,41.3,41.6,40.7,41.2,42.5,39.2,38.7,40.9,41.2,44.3,38.4,37.8,42.9,39.3,41.0,40.7
Feb 2020,41.5,41.7,41.5,44.0,43.6,41.7,41.7,40.7,41.1,43.0,39.5,38.9,41.1,41.5,44.3,38.4,38.1,42.4,40.5,40.7,40.8
Mar 2020,41.2,41.3,41.3,43.6,42.8,41.3,41.5,40.4,40.6,42.4,39.5,38.4,41.0,41.5,43.8,38.1,37.0,42.5,39.0,40.8,40.8
Apr 2020,38.4,38.0,40.2,41.1,39.7,38.8,39.3,38.7,39.2,33.2,37.6,36.9,39.1,40.1,37.5,38.0,34.0,41.8,34.6,40.2,37.4
May 2020,39.4,39.5,41.6,43.2,40.3,39.7,39.7,38.7,39.6,38.2,39.5,37.4,39.4,40.8,41.2,38.2,35.7,41.3,35.9,39.9,36.9
June 2020,39.9,40.0,41.8,43.2,40.7,40.1,40.1,39.4,39.7,39.3,40.1,38.2,39.8,41.1,40.0,38.1,35.8,42.2,36.7,40.6,37.3
July 2020,40.7,41.0,41.8,43.5,41.2,40.5,40.7,40.0,40.2,42.5,40.2,38.3,40.2,41.4,42.5,38.4,36.4,41.6,37.4,40.6,38.8
Aug 2020,41.1,41.3,42.1,43.8,42.1,40.7,41.3,40.2,40.4,42.9,40.1,38.6,40.7,41.5,45.6,38.5,37.1,42.2,38.1,41.1,39.6
Sept 2020,41.2,41.4,42.2,42.7,42.1,41.1,41.5,40.4,40.8,43.1,39.8,38.2,40.8,41.7,46.2,38.8,35.3,42.0,38.2,41.2,39.9
Oct 2020,41.3,41.5,42.0,43.7,42.5,41.0,41.5,40.5,41.4,42.9,39.9,38.9,41.1,41.6,46.5,38.7,37.3,42.9,38.8,41.5,40.5
Nov 2020,41.3,41.5,41.9,43.5,42.8,41.2,41.2,40.4,41.9,42.8,39.2,38.9,40.9,41.7,44.7,38.7,37.1,42.9,38.8,41.2,39.7
Dec 2020,41.4,41.5,42.0,43.9,42.9,41.0,41.9,40.1,41.9,42.6,40.0,38.9,41.2,41.9,46.3,38.6,36.1,43.6,39.0,41.4,40.1
Jan 2021,41.6,41.8,42.1,43.0,43.1,41.6,42.1,40.4,42.1,43.1,40.6,39.1,41.2,41.7,46.7,39.3,37.8,42.4,38.7,41.2,40.3
Feb 2021,41.4,41.4,41.1,42.3,43.4,41.2,41.8,39.9,42.1,42.6,39.7,38.9,41.3,41.6,46.4,38.7,37.9,43.0,39.0,41.5,40.7
Mar 2021,41.6,41.8,42.4,42.8,43.3,41.6,42.1,40.5,42.5,42.7,39.6,39.5,41.3,41.8,46.9,39.9,39.0,43.1,38.8,41.1,40.2
Apr 2021,41.6,41.6,42.9,42.2,42.9,41.5,42.0,40.5,42.2,42.2,39.3,39.6,41.6,41.9,47.5,40.6,39.1,43.5,39.2,41.4,40.4
May 2021,41.6,41.7,43.1,42.2,43.1,41.5,42.0,40.6,42.0,42.5,39.9,39.6,41.4,41.4,46.9,39.4,40.5,44.4,39.4,41.1,40.3
June 2021,41.4,41.3,42.3,42.2,43.9,41.5,40.9,40.6,41.7,41.9,39.2,39.3,41.4,41.6,46.5,39.4,39.5,43.1,39.7,41.4,40.9
July 2021,41.5,41.5,41.8,42.7,43.3,41.1,41.8,40.4,42.3,42.4,39.2,39.7,41.5,41.7,45.9,39.6,39.0,44.0,39.5,41.7,40.6
Aug 2021,41.4,41.5,42.0,42.6,43.0,41.3,41.5,40.5,42.7,42.3,39.4,39.7,41.3,41.4,45.4,39.3,39.0,43.8,39.2,41.4,40.2
Sept 2021,41.4,41.4,42.9,42.8,43.3,41.2,41.6,40.2,42.9,41.6,39.7,40.2,41.4,41.4,45.8,39.5,39.0,44.5,39.4,41.1,40.7
Oct 2021,41.3,41.3,42.0,42.4,42.9,41.2,41.5,40.0,42.0,41.8,39.5,39.7,41.4,41.4,45.5,39.6,38.8,43.7,39.2,41.3,40.8
Nov 2021,41.4,41.5,41.9,42.9,43.0,41.5,41.7,40.3,41.7,42.3,39.5,39.9,41.3,41.4,45.2,39.2,38.0,43.6,39.0,41.2,41.1
Dec 2021,41.4,41.5,41.9,43.2,42.6,41.3,41.5,40.4,41.8,42.2,39.5,39.9,41.2,41.4,45.4,40.2,37.3,43.1,38.7,41.3,41.1
Jan 2022,41.1,41.3,40.8,43.1,42.7,41.2,41.4,39.9,41.5,42.2,39.7,40.0,40.8,41.3,44.9,39.4,37.3,43.2,38.7,39.7,40.9
Feb 2022,41.5,41.7,41.8,43.6,44.5,41.7,41.7,40.4,41.8,42.1,40.4,39.9,41.2,41.7,44.6,40.0,37.2,43.5,39.9,40.4,41.3
Mar 2022,41.5,41.7,42.0,43.9,44.5,41.3,41.9,40.3,41.7,42.7,39.9,39.6,41.0,41.2,44.2,38.3,37.0,43.1,39.6,40.8,41.3
Apr 2022,41.3,41.6,42.0,43.8,44.7,41.2,41.6,40.1,41.7,42.5,40.1,39.3,40.8,40.9,43.5,38.8,37.1,42.9,39.0,40.7,41.1
May 2022,41.2,41.5,42.0,43.9,45.1,41.0,41.4,39.8,41.7,42.1,40.0,39.7,40.7,40.7,43.5,38.7,36.9,42.8,38.9,41.2,41.1
June 2022,41.0,41.4,41.4,44.0,44.5,40.8,41.3,39.9,41.6,42.1,39.7,39.9,40.5,40.5,43.0,36.1,38.7,42.1,38.7,41.0,40.9
July 2022,41.1,41.5,41.4,43.6,44.6,41.2,41.5,39.8,41.7,42.6,39.4,39.5,40.4,40.2,43.3,36.8,38.3,41.8,38.2,41.1,41.0
Aug 2022,41.0,41.3,41.3,43.6,44.2,41.1,41.4,39.9,41.1,42.2,39.1,39.5,40.4,40.4,42.6,37.8,37.2,42.1,38.2,41.1,40.9
Sept 2022,41.1,41.4,41.3,44.1,44.0,41.1,41.5,39.9,40.7,42.6,39.6,39.3,40.4,40.4,42.5,37.3,38.5,41.6,38.1,41.4,41.0
Oct 2022,41.0,41.4,41.3,44.0,44.1,41.2,41.4,39.7,41.5,42.4,39.5,39.6,40.3,40.4,41.4,37.6,38.8,41.2,38.3,41.1,41.0
Nov 2022,40.8,41.1,41.2,44.0,43.4,41.1,40.9,39.5,40.2,42.2,38.9,39.0,40.4,40.1,43.0,36.1,39.1,41.2,38.8,41.3,40.8
Dec 2022,40.6,40.9,40.9,43.7,43.4,41.0,40.2,39.0,40.5,42.0,39.0,38.9,40.0,39.5,42.0,37.1,40.6,41.0,37.8,41.2,40.8
Jan 2023,40.9,41.1,40.6,44.4,43.9,41.0,40.9,39.8,40.0,42.0,39.1,38.9,40.5,40.3,43.0,36.4,42.0,41.0,38.4,41.6,40.9
Feb 2023,40.7,41.0,40.5,44.2,43.3,41.0,40.6,39.7,39.9,42.0,39.1,38.5,40.2,40.0,41.6,36.1,40.5,40.5,38.4,41.3,40.8
Mar 2023,40.6,40.8,40.4,43.7,43.7,40.7,40.3,39.5,40.0,41.8,38.9,38.6,40.2,40.0,41.8,36.2,40.9,40.4,38.3,41.4,41.1
Apr 2023,40.6,40.8,40.0,44.0,43.5,40.6,40.1,39.7,40.3,42.2,38.9,38.3,40.3,39.9,42.1,36.4,39.3,40.5,38.3,41.5,41.3
