,,,,,,,,,,,
,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
01/07/1967,346000,166.5,208000,0,1594000,140.6,1134000,0, , , 
01/14/1967,334000,161.5,207000,0,1563000,139.7,1119000,0, , , 
01/21/1967,277000,127.8,217000,0,1551000,138.6,1119000,0, , , 
01/28/1967,252000,123.8,204000,209000,1533000,139,1103000,1118750, , , 
02/04/1967,274000,127.1,216000,211000,1534000,135.6,1131000,1118000, , , 
02/11/1967,276000,120.4,229000,216500,1557000,135,1153000,1126500, , , 
02/18/1967,247000,108.4,229000,219500,1579000,135.3,1167000,1138500, , , 
02/25/1967,248000,102.6,242000,229000,1625000,135.5,1199000,1162500, , , 
03/04/1967,326000,105.4,310000,252500,1621000,131.2,1235000,1188500, , , 
03/11/1967,240000,99.8,241000,255500,1577000,127.8,1234000,1208750, , , 
03/18/1967,225000,92,245000,259500,1525000,123.4,1236000,1226000, , , 
03/25/1967,215000,87.2,247000,260750,1505000,118.7,1268000,1243250, , , 
04/01/1967,223000,86.2,259000,248000,1470000,113.8,1291000,1257250, , , 
04/08/1967,251000,97.6,257000,252000,1410000,110.8,1273000,1267000, , , 
04/15/1967,289000,96.9,299000,265500,1386000,108.5,1278000,1277500, , , 
04/22/1967,218000,89.1,245000,265000,1342000,105.1,1277000,1279750, , , 
04/29/1967,216000,85,255000,264000,1302000,101.3,1286000,1278500, , , 
05/06/1967,221000,87.4,254000,263250,1242000,95,1308000,1287250, , , 
05/13/1967,188000,81.7,231000,246250,1169000,91,1284000,1288750, , , 
05/20/1967,177000,77.3,230000,242500,1129000,89.3,1265000,1285750, , , 
05/27/1967,170000,75,228000,235750,1062000,84.8,1253000,1277500, , , 
06/03/1967,175000,70.8,248000,234250,1085000,85.8,1265000,1266750, , , 
06/10/1967,188000,79.3,238000,236000,1038000,83,1251000,1258500, , , 
06/17/1967,176000,78.8,224000,234500,1023000,82,1248000,1254250, , , 
06/24/1967,178000,81.6,218000,232000,1008000,82.6,1220000,1246000, , , 
07/01/1967,206000,98.9,209000,222250,980000,82.2,1193000,1228000, , , 
07/08/1967,322000,134.7,240000,222750,1139000,91.3,1248000,1227250, , , 
07/15/1967,309000,128.1,241000,227000,1212000,96.3,1258000,1229750, , , 
07/22/1967,282000,117.8,240000,232500,1184000,94.5,1252000,1237750, , , 
07/29/1967,243000,116.4,209000,232500,1205000,94.2,1280000,1259500, , , 
08/05/1967,250000,113.5,221000,227750,1174000,94.7,1240000,1257500, , , 
08/12/1967,193000,95.5,202000,218000,1132000,93.2,1215000,1246750, , , 
08/19/1967,174000,81.1,215000,211750,1064000,88.5,1202000,1234250, , , 
08/26/1967,160000,75.5,213000,212750,994000,84.2,1180000,1209250, , , 
09/02/1967,163000,74.8,218000,212000,931000,77.3,1204000,1200250, , , 
09/09/1967,156000,68,231000,219250,938000,78.9,1189000,1193750, , , 
09/16/1967,165000,75.2,220000,220500,891000,75.6,1179000,1188000, , , 
09/23/1967,155000,74.4,209000,219500,878000,74.6,1178000,1187500, , , 
09/30/1967,154000,75.5,204000,216000,860000,74.3,1157000,1175750, , , 
10/07/1967,195000,84.4,231000,216000,859000,73.7,1165000,1169750, , , 
10/14/1967,159000,77.3,206000,212500,901000,75.8,1189000,1172250, , , 
10/21/1967,181000,81.3,223000,216000,891000,75.9,1174000,1171250, , , 
10/28/1967,174000,84,207000,216750,893000,76.9,1161000,1172250, , , 
11/04/1967,204000,91.9,222000,214500,920000,78.3,1176000,1175000, , , 
11/11/1967,201000,94.2,214000,216500,951000,83.3,1142000,1163250, , , 
11/18/1967,209000,105.4,198000,210250,952000,84.1,1133000,1153000, , , 
11/25/1967,200000,105.1,191000,206250,1062000,93,1142000,1148250, , , 
12/02/1967,228000,116.6,196000,199750,1089000,94.7,1150000,1141750, , , 
12/09/1967,258000,116.6,221000,201500,1127000,97.7,1153000,1144500, , , 
12/16/1967,241000,118.7,204000,203000,1201000,101.1,1188000,1158250, , , 
12/23/1967,289000,132.2,219000,210000,1260000,105.5,1195000,1171500, , , 
12/30/1967,332000,153.8,216000,215000,1484000,127.1,1167000,1175750, , , 
01/06/1968,357000,161,222000,215250,1618000,139.7,1158000,1177000, , , 
01/13/1968,373000,167.9,222000,219750,1647000,138.8,1187000,1176750, , , 
01/20/1968,293000,132.7,221000,220250,1649000,138.4,1191000,1175750, , , 
01/27/1968,242000,122.7,198000,215750,1602000,138.4,1157000,1173250, , , 
02/03/1968,308000,126.6,244000,221250,1591000,135.7,1173000,1177000, , , 
02/10/1968,257000,122.5,210000,218250,1572000,133.8,1175000,1174000, , , 
02/17/1968,214000,109.6,196000,212000,1541000,134.8,1143000,1162000, , , 
02/24/1968,199000,103.3,193000,210750,1575000,135.2,1165000,1164000, , , 
03/02/1968,198000,104.4,190000,197250,1513000,131.5,1151000,1158500, , , 
03/09/1968,208000,102.1,204000,195750,1469000,128.1,1147000,1151500, , , 
03/16/1968,179000,94.4,190000,194250,1421000,124.3,1143000,1151500, , , 
03/23/1968,175000,87.9,200000,196000,1358000,119.5,1136000,1144250, , , 
03/30/1968,165000,86,192000,196500,1288000,115.1,1119000,1136250, , , 
04/06/1968,184000,96.2,191000,193250,1202000,111.4,1079000,1119250, , , 
04/13/1968,167000,97.8,171000,188500,1174000,108.8,1079000,1103250, , , 
04/20/1968,165000,90.4,183000,184250,1123000,106.1,1059000,1084000, , , 
04/27/1968,216000,86.2,251000,199000,1112000,102.3,1087000,1076000, , , 
05/04/1968,180000,86.5,209000,203500,1040000,96.4,1079000,1076000, , , 
05/11/1968,164000,84.6,194000,209250,1006000,92.2,1091000,1079000, , , 
05/18/1968,156000,78.4,199000,213250,966000,90.2,1071000,1082000, , , 
05/25/1968,148000,76.6,194000,199000,923000,86,1073000,1078500, , , 
06/01/1968,139000,70.4,199000,196500,916000,86.2,1063000,1074500, , , 
06/08/1968,149000,77.8,192000,196000,921000,83.9,1097000,1076000, , , 
06/15/1968,154000,79.4,194000,194750,883000,82.5,1071000,1076000, , , 
06/22/1968,152000,80.5,189000,193500,872000,82.3,1060000,1072750, , , 
06/29/1968,173000,89.7,194000,192250,858000,82.7,1038000,1066500, , , 
07/06/1968,266000,124.4,214000,197750,982000,89.5,1097000,1066500, , , 
07/13/1968,242000,130.6,186000,195750,1022000,95,1076000,1067750, , , 
07/20/1968,216000,120.2,180000,193500,975000,94.4,1033000,1061000, , , 
07/27/1968,238000,116.4,205000,196250,975000,94.1,1036000,1060500, , , 
08/03/1968,235000,114.4,206000,194250,1012000,94.4,1072000,1054250, , , 
08/10/1968,222000,102.1,218000,202250,1021000,93.8,1088000,1057250, , , 
08/17/1968,160000,83.5,192000,205250,994000,89.8,1107000,1075750, , , 
08/24/1968,148000,77.1,193000,202250,935000,85.5,1094000,1090250, , , 
08/31/1968,139000,74,188000,197750,845000,79.4,1064000,1088250, , , 
09/07/1968,135000,71.8,189000,190500,836000,78.4,1067000,1083000, , , 
09/14/1968,141000,72.7,195000,191250,805000,77.1,1044000,1067250, , , 
09/21/1968,142000,74.9,191000,190750,786000,75.1,1047000,1055500, , , 
09/28/1968,143000,75.8,189000,191000,785000,74.9,1048000,1051500, , , 
10/05/1968,153000,83.4,185000,190000,788000,74.3,1060000,1049750, , , 
10/12/1968,151000,81.4,186000,187750,790000,75.6,1045000,1050000, , , 
10/19/1968,151000,79.3,191000,187750,791000,76.5,1035000,1047000, , , 
10/26/1968,152000,83.7,182000,186000,797000,77.1,1033000,1043250, , , 
11/02/1968,161000,89.5,181000,185000,804000,78.2,1028000,1035250, , , 
11/09/1968,174000,95.3,183000,184250,839000,81.6,1028000,1031000, , , 
11/16/1968,196000,102,192000,184500,909000,84.5,1076000,1041250, , , 
11/23/1968,211000,106.1,199000,188750,922000,90.1,1023000,1038750, , , 
11/30/1968,180000,111.4,162000,184000,1002000,94.9,1056000,1045750, , , 
12/07/1968,223000,119.1,188000,185250,1033000,97.2,1063000,1054500, , , 
12/14/1968,233000,119.2,195000,186000,1074000,101.2,1061000,1050750, , , 
12/21/1968,243000,126.7,192000,184250,1083000,101.9,1063000,1060750, , , 
12/28/1968,333000,149.3,223000,199500,1352000,121.1,1116000,1075750, , , 
01/04/1969,290000,153,190000,200000,1532000,137.1,1118000,1089500, , , 
01/11/1969,337000,176.8,191000,199000,1509000,137.3,1099000,1099000, , , 
01/18/1969,265000,138.6,192000,199000,1469000,137.1,1072000,1101250, , , 
01/25/1969,236000,122.6,193000,191500,1474000,136.9,1077000,1091500, , , 
02/01/1969,250000,123.4,203000,194750,1487000,135.3,1099000,1086750, , , 
02/08/1969,248000,126.4,197000,196250,1440000,132.4,1088000,1084000, , , 
02/15/1969,219000,114.6,192000,196250,1498000,134.4,1115000,1094750, , , 
02/22/1969,199000,104.1,192000,196000,1461000,133.8,1092000,1098500, , , 
03/01/1969,206000,102.9,201000,195500,1437000,130.9,1098000,1098250, , , 
03/08/1969,195000,102.3,191000,194000,1400000,127.4,1099000,1101000, , , 
03/15/1969,179000,95.1,189000,193250,1342000,124.2,1080000,1092250, , , 
03/22/1969,158000,87.5,181000,190500,1279000,119.4,1071000,1087000, , , 
03/29/1969,157000,86.3,183000,186000,1200000,115.3,1041000,1072750, , , 
04/05/1969,170000,93.7,182000,183750,1197000,111.3,1076000,1067000, , , 
04/12/1969,187000,98.4,190000,184000,1145000,109.1,1050000,1059500, , , 
04/19/1969,168000,89.9,187000,185500,1089000,106.3,1025000,1048000, , , 
04/26/1969,151000,86,177000,184000,1019000,102.7,992000,1035750, , , 
05/03/1969,150000,84.9,177000,182750,974000,97.1,1003000,1017500, , , 
05/10/1969,157000,86.1,183000,181000,945000,92.8,1018000,1009500, , , 
05/17/1969,141000,79.1,179000,179000,916000,90.9,1007000,1005000, , , 
05/24/1969,138000,77.1,180000,179750,883000,87.8,1006000,1008500, , , 
05/31/1969,135000,72.3,187000,182250,855000,86.6,988000,1004750, , , 
06/07/1969,148000,77.3,192000,184500,848000,85.5,992000,998250, , , 
06/14/1969,145000,80.2,182000,185250,844000,83.6,1010000,999000, , , 
06/21/1969,155000,81.5,191000,188000,843000,83.3,1012000,1000500, , , 
06/28/1969,177000,87.6,203000,192000,854000,83.7,1021000,1008750, , , 
07/05/1969,267000,117.9,227000,200750,949000,88.5,1072000,1028750, , , 
07/12/1969,271000,129.6,210000,207750,1033000,94.6,1092000,1049250, , , 
07/19/1969,246000,120,206000,211500,1012000,94.4,1072000,1064250, , , 
07/26/1969,221000,115.6,192000,208750,1041000,93.8,1110000,1086500, , , 
08/02/1969,223000,113.9,196000,201000,1061000,94.2,1126000,1100000, , , 
08/09/1969,210000,103.6,203000,199250,1023000,93.6,1093000,1100250, , , 
08/16/1969,168000,84.5,199000,197500,962000,90.2,1067000,1099000, , , 
08/23/1969,154000,77.8,199000,199250,912000,86,1060000,1086500, , , 
08/30/1969,144000,73.9,195000,199000,870000,81,1074000,1073500, , , 
09/06/1969,133000,73.5,182000,193750,872000,78.5,1111000,1078000, , , 
09/13/1969,149000,71.5,209000,196250,848000,78.3,1082000,1081750, , , 
09/20/1969,147000,75.5,195000,195250,823000,76,1083000,1087500, , , 
09/27/1969,147000,76.6,193000,194750,821000,75.6,1086000,1090500, , , 
10/04/1969,159000,82.4,193000,197500,830000,75.3,1103000,1088500, , , 
10/11/1969,168000,84.5,200000,195250,832000,75.7,1100000,1093000, , , 
10/18/1969,155000,78.2,199000,196250,864000,77.3,1118000,1101750, , , 
10/25/1969,171000,83.9,205000,199250,879000,77.4,1136000,1114250, , , 
11/01/1969,174000,88.2,198000,200500,902000,78.9,1143000,1124250, , , 
11/08/1969,206000,97.4,211000,203250,935000,81.6,1146000,1135750, , , 
11/15/1969,196000,99.5,197000,202750,1007000,85.3,1181000,1151500, , , 
11/22/1969,230000,106.4,217000,205750,1025000,88.5,1158000,1157000, , , 
11/29/1969,219000,108.2,202000,206750,1152000,95.1,1211000,1174000, , , 
12/06/1969,247000,122.2,202000,204500,1193000,97.3,1226000,1194000, , , 
12/13/1969,264000,119.5,222000,210750,1251000,101.4,1233000,1207000, , , 
12/20/1969,289000,124.7,232000,214500,1273000,101.7,1252000,1230500, , , 
12/27/1969,320000,143.5,223000,219750,1534000,117.6,1304000,1253750, , , 
01/03/1970,344000,149.7,230000,226750,1787000,134.2,1332000,1280250, , , 
01/10/1970,429000,177.5,242000,231750,1835000,135.6,1353000,1310250, , , 
01/17/1970,386000,144.3,268000,240750,1848000,134.8,1371000,1340000, , , 
01/24/1970,316000,123.7,256000,249000,1872000,134.9,1388000,1361000, , , 
01/31/1970,293000,122.6,239000,251250,1860000,134.3,1385000,1374250, , , 
02/07/1970,324000,126.7,256000,254750,1831000,131.1,1397000,1385250, , , 
02/14/1970,308000,116.1,265000,254000,1924000,133.2,1445000,1403750, , , 
02/21/1970,285000,105.3,271000,257750,1869000,132.4,1412000,1409750, , , 
02/28/1970,241000,99.8,242000,258500,1869000,130.7,1430000,1421000, , , 
03/07/1970,270000,103.4,262000,260000,1833000,127.1,1443000,1432500, , , 
03/14/1970,258000,95.4,271000,261500,1808000,124.1,1456000,1435250, , , 
03/21/1970,233000,88.4,264000,259750,1788000,119.4,1498000,1456750, , , 
03/28/1970,236000,85.8,276000,268250,1775000,115.5,1537000,1483500, , , 
04/04/1970,250000,91.7,273000,271000,1762000,112,1573000,1516000, , , 
04/11/1970,300000,98.5,305000,279500,1739000,109.6,1586000,1548500, , , 
04/18/1970,339000,90.5,374000,307000,1767000,106.9,1653000,1587250, , , 
04/25/1970,299000,85.7,349000,325250,1805000,103.3,1748000,1640000, , , 
05/02/1970,278000,83.4,334000,340500,1774000,97.9,1811000,1699500, , , 
05/09/1970,279000,87.9,318000,343750,1738000,94.1,1847000,1764750, , , 
05/16/1970,242000,79.9,303000,326000,1689000,91.8,1840000,1811500, , , 
05/23/1970,231000,78.1,296000,312750,1639000,89.7,1827000,1831250, , , 
05/30/1970,224000,74.5,301000,304500,1579000,87.4,1807000,1830250, , , 
06/06/1970,234000,77.7,301000,300250,1582000,87.1,1817000,1822750, , , 
06/13/1970,242000,81.3,298000,299000,1574000,85,1852000,1825750, , , 
06/20/1970,245000,82.7,296000,299000,1578000,84.7,1864000,1835000, , , 
06/27/1970,247000,84.9,291000,296500,1579000,84.6,1866000,1849750, , , 
07/04/1970,309000,111.8,277000,290500,1628000,87.9,1853000,1858750, , , 
07/11/1970,369000,128.6,288000,288000,1759000,94.2,1868000,1862750, , , 
07/18/1970,353000,120.1,294000,287500,1774000,94.5,1877000,1866000, , , 
07/25/1970,329000,115,287000,286500,1801000,93.9,1918000,1879000, , , 
08/01/1970,293000,112.5,261000,282500,1790000,94.2,1900000,1890750, , , 
08/08/1970,278000,104.9,266000,277000,1767000,93.5,1890000,1896250, , , 
08/15/1970,257000,85.8,300000,278500,1748000,90.4,1933000,1910250, , , 
08/22/1970,238000,78.6,303000,282500,1706000,86.6,1970000,1923250, , , 
08/29/1970,220000,74.2,297000,291500,1646000,82.1,2005000,1949500, , , 
09/05/1970,240000,74.3,324000,306000,1577000,79,1996000,1976000, , , 
09/12/1970,207000,71.1,292000,304000,1643000,79.4,2068000,2009750, , , 
09/19/1970,247000,76.2,325000,309500,1585000,76.6,2069000,2034500, , , 
09/26/1970,256000,77,333000,318500,1597000,76.3,2092000,2056250, , , 
10/03/1970,284000,81.1,350000,325000,1640000,75.8,2164000,2098250, , , 
10/10/1970,287000,87.9,327000,333750,1672000,75.8,2207000,2133000, , , 
10/17/1970,259000,77.6,334000,336000,1728000,78.2,2210000,2168250, , , 
10/24/1970,280000,84.8,330000,335250,1758000,77.9,2257000,2209500, , , 
10/31/1970,283000,86.8,327000,329500,1773000,79.4,2233000,2226750, , , 
11/07/1970,333000,99.2,336000,331750,1854000,81.3,2279000,2244750, , , 
11/14/1970,307000,97.9,314000,326750,2007000,85.7,2343000,2278000, , , 
11/21/1970,333000,106.4,314000,322750,1980000,86.7,2285000,2285000, , , 
11/28/1970,354000,105,337000,325250,2186000,95.4,2292000,2299750, , , 
12/05/1970,378000,122.9,308000,318250,2214000,97.3,2276000,2299000, , , 
12/12/1970,370000,121.2,306000,316250,2223000,101.3,2193000,2261500, , , 
12/19/1970,354000,123,289000,310000,2254000,101.4,2224000,2246250, , , 
12/26/1970,451000,140.5,321000,306000,2446000,113.9,2147000,2210000, , , 
01/02/1971,443000,146.6,303000,304750,2757000,131.2,2102000,2166500,5.2,3.9,53221100
01/09/1971,500000,173.9,288000,300250,2829000,133.2,2124000,2149250,5.3,4,53221100
01/16/1971,452000,151.4,299000,302750,2798000,133.2,2100000,2118250,5.3,3.9,53221100
01/23/1971,399000,127.8,312000,300500,2794000,133.6,2091000,2104250,5.2,3.9,53221100
01/30/1971,353000,121,292000,297750,2781000,133.3,2086000,2100250,5.2,3.9,53221100
02/06/1971,375000,126.6,296000,299750,2761000,130.3,2120000,2099250,5.2,4,53221100
02/13/1971,333000,118.5,282000,295500,2744000,132,2079000,2094000,5.2,3.9,53221100
02/20/1971,286000,106.9,268000,284500,2782000,131.2,2120000,2101250,5.2,4,53221100
02/27/1971,289000,99.9,290000,284000,2717000,130.6,2081000,2100000,5.1,3.9,53221100
03/06/1971,306000,103,297000,284250,2703000,126.8,2132000,2103000,5.1,4,53221100
03/13/1971,275000,96,287000,285500,2634000,123.9,2126000,2114750,4.9,4,53221100
03/20/1971,260000,89.8,291000,291250,2561000,119.7,2140000,2119750,4.8,4,53221100
03/27/1971,261000,87,300000,293750,2505000,116.2,2157000,2138750,4.7,4.1,53221100
04/03/1971,267000,89.2,299000,294250,2406000,112.7,2135000,2139500,4.5,4,53155200
04/10/1971,278000,99.7,279000,292250,2374000,110.1,2156000,2147000,4.5,4.1,53155200
04/17/1971,257000,90.9,284000,290500,2323000,107.4,2163000,2152750,4.4,4.1,53155200
04/24/1971,248000,86.4,288000,287500,2226000,104.7,2127000,2145250,4.2,4,53155200
05/01/1971,237000,82,290000,285250,2144000,99.4,2157000,2150750,4,4.1,53155200
05/08/1971,260000,88.7,293000,288750,2077000,95.3,2179000,2156500,3.9,4.1,53155200
05/15/1971,230000,81.1,284000,288750,2030000,93.2,2179000,2160500,3.8,4.1,53155200
05/22/1971,231000,78.7,295000,290500,1989000,91.8,2167000,2170500,3.7,4.1,53155200
05/29/1971,231000,77.4,299000,292750,1918000,88.4,2171000,2174000,3.6,4.1,53155200
06/05/1971,232000,77.3,301000,294750,1947000,88.7,2194000,2177750,3.7,4.1,53155200
06/12/1971,244000,82.8,295000,297500,1902000,86.5,2199000,2182750,3.6,4.1,53155200
06/19/1971,249000,83.5,299000,298500,1883000,86.3,2182000,2186500,3.5,4.1,53155200
06/26/1971,247000,85,291000,296500,1870000,86.1,2172000,2186750,3.5,4.1,53155200
07/03/1971,288000,104.1,277000,290500,1846000,87.3,2116000,2167250,3.5,4,52803500
07/10/1971,335000,127.3,264000,282750,2006000,94.2,2130000,2150000,3.8,4,52803500
07/17/1971,367000,117.4,313000,286250,1979000,94.8,2087000,2126250,3.7,4,52803500
07/24/1971,342000,112.6,304000,289500,1997000,93.8,2129000,2115500,3.8,4,52803500
07/31/1971,340000,110.5,308000,297250,2020000,93.9,2150000,2124000,3.8,4.1,52803500
08/07/1971,362000,103.9,349000,318500,2015000,92.7,2174000,2135000,3.8,4.1,52803500
08/14/1971,282000,86.8,325000,321500,1985000,90.1,2202000,2163750,3.8,4.2,52803500
08/21/1971,252000,79.1,320000,325500,1895000,86.7,2186000,2178000,3.6,4.1,52803500
08/28/1971,228000,74.3,307000,325250,1817000,83,2188000,2187500,3.4,4.1,52803500
09/04/1971,268000,74.6,359000,327750,1756000,78.8,2228000,2201000,3.3,4.2,52803500
09/11/1971,219000,70.4,312000,324500,1801000,80.1,2250000,2213000,3.4,4.3,52803500
09/18/1971,230000,76.4,302000,320000,1733000,77.2,2246000,2228000,3.3,4.3,52803500
09/25/1971,236000,76.9,308000,320250,1713000,76.7,2233000,2239250,3.2,4.2,52803500
10/02/1971,238000,79.7,299000,305250,1690000,76.3,2216000,2236250,3.2,4.2,52640400
10/09/1971,280000,89.8,313000,305500,1692000,75.3,2247000,2235500,3.2,4.3,52640400
10/16/1971,233000,78.2,299000,304750,1724000,78.7,2190000,2221500,3.3,4.2,52640400
10/23/1971,251000,85.3,294000,301250,1693000,77.8,2176000,2207250,3.2,4.1,52640400
10/30/1971,241000,85.2,283000,297250,1746000,79.6,2194000,2201750,3.3,4.2,52640400
11/06/1971,297000,98.8,301000,294250,1787000,81.1,2204000,2191000,3.4,4.2,52640400
11/13/1971,289000,98.2,295000,293250,1828000,85.6,2134000,2177000,3.5,4.1,52640400
11/20/1971,291000,106.3,274000,288250,1814000,85,2134000,2166500,3.4,4.1,52640400
11/27/1971,284000,102.3,278000,287000,2015000,95.4,2111000,2145750,3.8,4,52640400
12/04/1971,372000,124.5,299000,286500,2053000,97,2117000,2124000,3.9,4,52640400
12/11/1971,348000,124.4,280000,282750,2110000,101.2,2085000,2111750,4,4,52640400
12/18/1971,329000,122.5,269000,281500,2147000,101.8,2109000,2105500,4.1,4,52640400
12/25/1971,340000,139.7,244000,273000,2245000,110.2,2037000,2087000,4.3,3.9,52640400
01/01/1972,405000,145.4,279000,268000,2485000,128.5,1934000,2041250,4.7,3.7,52631500
01/08/1972,479000,162.4,295000,271750,2529000,130.9,1931000,2002750,4.8,3.7,52631500
01/15/1972,395000,158.4,250000,267000,2527000,131.4,1923000,1956250,4.8,3.7,52631500
01/22/1972,347000,132.2,263000,271750,2516000,132,1907000,1923750,4.8,3.6,52631500
01/29/1972,326000,121.3,269000,269250,2529000,131.7,1921000,1920500,4.8,3.6,52631500
02/05/1972,342000,123.9,276000,264500,2506000,129.1,1941000,1923000,4.8,3.7,52631500
02/12/1972,318000,119.9,266000,268500,2551000,130.2,1960000,1932250,4.8,3.7,52631500
02/19/1972,279000,108.1,258000,267250,2470000,129.9,1902000,1931000,4.7,3.6,52631500
02/26/1972,252000,99.1,254000,263500,2474000,130,1903000,1926500,4.7,3.6,52631500
03/04/1972,263000,102.5,257000,258750,2413000,126.7,1905000,1917500,4.6,3.6,52631500
03/11/1972,257000,97.5,264000,258250,2360000,123.8,1906000,1904000,4.5,3.6,52631500
03/18/1972,241000,91,266000,260250,2298000,120.5,1907000,1905250,4.4,3.6,52631500
03/25/1972,231000,87.8,264000,262750,2203000,117.4,1877000,1898750,4.2,3.6,52631500
04/01/1972,224000,86.9,258000,263000,2176000,113.7,1913000,1900750,4.1,3.6,52750100
04/08/1972,271000,99.1,274000,265500,2116000,110.8,1910000,1901750,4,3.6,52750100
04/15/1972,237000,91.5,259000,263750,2048000,108.3,1891000,1897750,3.9,3.6,52750100
04/22/1972,223000,86.4,259000,262500,1966000,106,1855000,1892250,3.7,3.5,52750100
04/29/1972,214000,81,265000,264250,1890000,101.1,1870000,1881500,3.6,3.5,52750100
05/06/1972,234000,86.6,271000,263500,1836000,97,1893000,1877250,3.5,3.6,52750100
05/13/1972,218000,81.9,266000,265250,1770000,94.5,1874000,1873000,3.4,3.6,52750100
05/20/1972,210000,79,267000,267250,1731000,92.9,1863000,1875000,3.3,3.5,52750100
05/27/1972,209000,78.6,267000,267750,1664000,88.9,1871000,1875250,3.2,3.5,52750100
06/03/1972,198000,75.3,264000,266000,1673000,90.1,1857000,1866250,3.2,3.5,52750100
06/10/1972,224000,83.7,268000,266500,1637000,87.5,1870000,1865250,3.1,3.5,52750100
06/17/1972,227000,82.8,275000,268500,1619000,87.3,1855000,1863250,3.1,3.5,52750100
06/24/1972,240000,84.2,286000,273250,1633000,87.3,1871000,1863250,3.1,3.5,52750100
07/01/1972,327000,93.7,350000,294750,1645000,85,1935000,1882750,3.1,3.6,53105800
07/08/1972,364000,122.9,297000,302000,1834000,92.8,1977000,1909500,3.5,3.7,53105800
07/15/1972,367000,115.6,318000,312750,1848000,94.9,1947000,1932500,3.5,3.7,53105800
07/22/1972,299000,108.7,276000,310250,1835000,93.5,1962000,1955250,3.5,3.7,53105800
07/29/1972,266000,108.2,247000,284500,1796000,93.2,1928000,1953500,3.4,3.6,53105800
08/05/1972,256000,102.9,250000,272750,1705000,91.9,1855000,1923000,3.2,3.5,53105800
08/12/1972,220000,89.6,246000,254750,1633000,90.1,1812000,1889250,3.1,3.4,53105800
08/19/1972,203000,79.4,256000,249750,1554000,86.6,1794000,1847250,2.9,3.4,53105800
08/26/1972,195000,74.5,262000,253500,1500000,83.7,1792000,1813250,2.8,3.4,53105800
09/02/1972,192000,74.7,258000,255500,1433000,78,1838000,1809000,2.7,3.5,53105800
09/09/1972,178000,68.7,259000,258750,1447000,80.3,1802000,1806500,2.7,3.4,53105800
09/16/1972,196000,76.2,258000,259250,1388000,77.1,1799000,1807750,2.6,3.4,53105800
09/23/1972,193000,75.9,255000,257500,1369000,76.4,1791000,1807500,2.6,3.4,53105800
09/30/1972,192000,76.7,251000,255750,1340000,76,1763000,1788750,2.5,3.3,53105800
10/07/1972,233000,88.9,263000,256750,1330000,75.1,1771000,1781000,2.4,3.3,54333300
10/14/1972,202000,80.8,250000,254750,1366000,77.6,1760000,1771250,2.5,3.2,54333300
10/21/1972,214000,83.4,257000,255250,1342000,77.4,1733000,1756750,2.5,3.2,54333300
10/28/1972,196000,84.1,234000,251000,1383000,79,1750000,1753500,2.5,3.2,54333300
11/04/1972,242000,94.9,255000,249000,1377000,80,1722000,1741250,2.5,3.2,54333300
11/11/1972,236000,97.5,242000,247000,1457000,83.9,1736000,1735250,2.7,3.2,54333300
11/18/1972,280000,103.5,271000,250500,1445000,83.7,1727000,1733750,2.7,3.2,54333300
11/25/1972,238000,101.4,235000,250750,1620000,92.9,1743000,1732000,3,3.2,54333300
12/02/1972,268000,119,226000,243500,1607000,95.9,1676000,1720500,3,3.1,54333300
12/09/1972,317000,126.1,252000,246000,1678000,99.8,1681000,1706750,3.1,3.1,54333300
12/16/1972,323000,122.8,263000,244000,1789000,101.9,1756000,1714000,3.3,3.2,54333300
12/23/1972,327000,132.7,246000,246750,1759000,103.6,1697000,1702500,3.2,3.1,54333300
12/30/1972,338000,150.7,225000,246500,2026000,121.9,1663000,1699250,3.7,3.1,54333300
01/06/1973,345000,152.9,226000,240000,2121000,131.2,1617000,1683250,3.8,2.9,56359100
01/13/1973,412000,168.6,245000,235500,2170000,130.7,1660000,1659250,3.9,2.9,56359100
01/20/1973,324000,141.5,229000,231250,2122000,132,1607000,1636750,3.8,2.9,56359100
01/27/1973,267000,124.6,214000,228500,2111000,131.9,1601000,1621250,3.7,2.8,56359100
02/03/1973,285000,124.9,228000,229000,2079000,130.3,1596000,1616000,3.7,2.8,56359100
02/10/1973,276000,122.5,226000,224250,2063000,129.5,1594000,1599500,3.7,2.8,56359100
02/17/1973,242000,112.1,216000,221000,2061000,130.3,1582000,1593250,3.7,2.8,56359100
02/24/1973,220000,101.5,218000,222000,2081000,131.5,1582000,1588500,3.7,2.8,56359100
03/03/1973,233000,103.9,225000,221250,2018000,127.8,1579000,1584250,3.6,2.8,56359100
03/10/1973,227000,99.5,229000,222000,1977000,124.8,1584000,1581750,3.5,2.8,56359100
03/17/1973,212000,93.2,228000,225000,1924000,121.9,1578000,1580750,3.4,2.8,56359100
03/24/1973,209000,90.1,232000,228500,1855000,118.7,1562000,1575750,3.3,2.8,56359100
03/31/1973,193000,87.3,222000,227750,1790000,115.7,1547000,1567750,3.2,2.7,56359100
04/07/1973,244000,98.8,247000,232250,1742000,112.3,1552000,1559750,3,2.6,58629500
04/14/1973,212000,92.4,230000,232750,1684000,109.4,1539000,1550000,2.9,2.6,58629500
